联通线路1,#genre#
CCTV1高清,http://192.168.172.252:4022/udp/239.253.246.77:8000
CCTV1,http://192.168.172.252:4022/udp/239.253.246.1:8000
CCTV2高清,http://192.168.172.252:4022/udp/239.253.246.232:8000
CCTV2,http://192.168.172.252:4022/udp/239.253.246.3:8000
CCTV3,http://192.168.172.252:4022/udp/239.253.246.4:8000
CCTV4高清,http://192.168.172.252:4022/udp/239.253.246.111:8000
CCTV4,http://192.168.172.252:4022/udp/239.253.246.5:8000
CCTV5,http://192.168.172.252:4022/udp/239.253.246.6:8000
CCTV5+高清,http://192.168.172.252:4022/udp/239.253.246.80:8000
CCTV6,http://192.168.172.252:4022/udp/239.253.246.7:8000
CCTV7高清,http://192.168.172.252:4022/udp/239.253.246.235:8000
CCTV7,http://192.168.172.252:4022/udp/239.253.246.8:8000
CCTV8,http://192.168.172.252:4022/udp/239.253.246.9:8000
CCTV9高清,http://192.168.172.252:4022/udp/239.253.246.79:8000
CCTV9,http://192.168.172.252:4022/udp/239.253.246.10:8000
CCTV10高清,http://192.168.172.252:4022/udp/239.253.246.234:8000
CCTV10,http://192.168.172.252:4022/udp/239.253.246.11:8000
CCTV11,http://192.168.172.252:4022/udp/239.253.246.12:8000
CCTV12高清,http://192.168.172.252:4022/udp/239.253.246.235:8000
CCTV12,http://192.168.172.252:4022/udp/239.253.246.13:8000
CCTV13,http://192.168.172.252:4022/udp/239.253.246.14:8000
CCTV14高清,http://192.168.172.252:4022/udp/239.253.246.236:8000
CCTV14,http://192.168.172.252:4022/udp/239.253.246.15:8000
CCTV15,http://192.168.172.252:4022/udp/239.253.246.16:8000
CGTN,http://192.168.172.252:4022/udp/239.253.246.17:8000
山东卫视高清,http://192.168.172.252:4022/udp/239.253.246.78:8000
山东卫视,http://192.168.172.252:4022/udp/239.253.246.2:8000
齐鲁频道高清,http://192.168.172.252:4022/udp/239.253.246.114:8000
齐鲁频道,http://192.168.172.252:4022/udp/239.253.246.18:8000
山东影视高清,http://192.168.172.252:4022/udp/239.253.246.160:8000
山东影视,http://192.168.172.252:4022/udp/239.253.246.19:8000
山东生活高清,http://192.168.172.252:4022/udp/239.253.246.151:8000
山东生活,http://192.168.172.252:4022/udp/239.253.246.20:8000
山东综艺高清,http://192.168.172.252:4022/udp/239.253.246.159:8000
山东综艺,http://192.168.172.252:4022/udp/239.253.246.21:8000
山东体育高清,http://192.168.172.252:4022/udp/239.253.246.22:8000
山东体育,http://192.168.172.252:4022/udp/239.253.246.22:8000
山东公共高清,http://192.168.172.252:4022/udp/239.253.246.23:8000
山东公共,http://192.168.172.252:4022/udp/239.253.246.23:8000
山东教育高清,http://192.168.172.252:4022/udp/239.253.246.59:8000
山东教育,http://192.168.172.252:4022/udp/239.253.246.59:8000
山东少儿,http://192.168.172.252:4022/udp/239.253.246.25:8000
山东农科,http://192.168.172.252:4022/udp/239.253.246.24:8000
山东国际,http://192.168.172.252:4022/udp/239.253.246.26:8000
烟台新闻,http://192.168.172.252:4022/udp/239.253.246.254:8000
烟台公共,http://192.168.172.252:4022/udp/239.253.246.252:8000
